root,depth,terminal,cycle,unresolved,path
common.automation_checkapplicationtimeframeandprocessing,0,leaf,0,0,"common.automation_checkapplicationtimeframeandprocessing"
common.copyconedexchangedatatocommon,0,leaf,0,0,"common.copyconedexchangedatatocommon"
common.copyconedexchangedatauploadtocommon,0,leaf,0,0,"common.copyconedexchangedatauploadtocommon"
common.copyconedsteamexchangedatatocommon,0,leaf,0,0,"common.copyconedsteamexchangedatatocommon"
common.copyconedsteamexchangedatatocommon_revert,1,leaf,0,0,"common.copyconedsteamexchangedatatocommon_revert > common.usp_processexchange_code27_revert"
common.copyconedsteamexchangedatatocommon_revert,1,leaf,0,0,"common.copyconedsteamexchangedatatocommon_revert > common.usp_processexchange_code28_revert"
common.copyconedsteamexchangedatatocommon_revert,1,leaf,0,0,"common.copyconedsteamexchangedatatocommon_revert > common.usp_processexchange_code45_revert"
common.copyconedsteamexchangedatatocommon_revert,1,leaf,0,0,"common.copyconedsteamexchangedatatocommon_revert > common.usp_processexchange_code46_revert"
common.copyconedsteamexchangedatatocommon_revert,1,leaf,0,0,"common.copyconedsteamexchangedatatocommon_revert > common.usp_processexchange_code47_revert"
common.copyconedsteamexchangedatatocommon_revert,1,leaf,0,0,"common.copyconedsteamexchangedatatocommon_revert > common.usp_processexchange_codeax_revert"
common.copyconedsteamexchangedatatocommon_revert,1,leaf,0,0,"common.copyconedsteamexchangedatatocommon_revert > common.usp_processexchange_codemisc_revert"
common.copyconedsteamnewmeter46exchangedatatocommon,0,leaf,0,0,"common.copyconedsteamnewmeter46exchangedatatocommon"
common.copynationalgridexchangedatatocommon,0,leaf,0,0,"common.copynationalgridexchangedatatocommon"
common.copynypaexchangedatatocommon,0,leaf,0,0,"common.copynypaexchangedatatocommon"
common.createrequestaccess,1,leaf,0,0,"common.createrequestaccess > contact.addcontactaddress"
common.createrequestaccess,2,leaf,0,0,"common.createrequestaccess > dbo.aspnet_membership_createuser > dbo.aspnet_applications_createapplication"
common.createrequestaccess,1,leaf,0,0,"common.createrequestaccess > dbo.aspnet_usersinroles_adduserstoroles"
common.createrequestaccess,1,leaf,0,0,"common.createrequestaccess > membership.usp_access_updateuseragencyaccess"
common.createrequestaccess,1,leaf,0,0,"common.createrequestaccess > membership.usp_membership_addnewuser"
common.usp_changecurrentbillingperiod,0,leaf,0,0,"common.usp_changecurrentbillingperiod"
common.usp_coned_handleexchangedataissues,1,leaf,0,0,"common.usp_coned_handleexchangedataissues > common.copyconedexchangedatatocommon"
common.usp_coned_handleexchangedataissues,1,unresolved,0,1,"common.usp_coned_handleexchangedataissues > dbo.this"
common.usp_findserviceclassificationmismatchesusingaccountbilling,0,leaf,0,0,"common.usp_findserviceclassificationmismatchesusingaccountbilling"
common.usp_finduploadlinkedservers,0,leaf,0,0,"common.usp_finduploadlinkedservers"
common.usp_getnewexchanges,0,leaf,0,0,"common.usp_getnewexchanges"
common.usp_getuploadutilitycycleparameters,0,leaf,0,0,"common.usp_getuploadutilitycycleparameters"
common.usp_inactiveec3users,1,leaf,0,0,"common.usp_inactiveec3users > membership.usp_membership_getalluser"
common.usp_insertnewcurrentbillingperiod,0,leaf,0,0,"common.usp_insertnewcurrentbillingperiod"
common.usp_newbillingperiodprocesses,0,leaf,0,0,"common.usp_newbillingperiodprocesses"
common.usp_preparefornextbillingperiod,0,leaf,0,0,"common.usp_preparefornextbillingperiod"
common.usp_processchangepriornewactivestatustoactive,0,leaf,0,0,"common.usp_processchangepriornewactivestatustoactive"
common.usp_processexchange_code27,0,leaf,0,0,"common.usp_processexchange_code27"
common.usp_processexchange_code27_revert,0,leaf,0,0,"common.usp_processexchange_code27_revert"
common.usp_processexchange_code28,0,leaf,0,0,"common.usp_processexchange_code28"
common.usp_processexchange_code28_revert,0,leaf,0,0,"common.usp_processexchange_code28_revert"
