Source,Target
Report.usp_Lookup_GetAccountListForTariffReport,Audit.usp_AddReportUsageLog
Report.usp_Lookup_GetAccountListForTariffReport_Updated,Audit.usp_AddReportUsageLog
Report.usp_LookupAgencyAndFacilityInformation,Audit.usp_AddReportUsageLog
Report.usp_LookupAgencyAndFacilityInformation_Updated,Audit.usp_AddReportUsageLog
Report.usp_MonthlyAgencyDataByEnergyType,Audit.usp_AddReportUsageLog
Report.usp_MonthlyAgencyDataByEnergyType_Export,Audit.usp_AddReportUsageLog
Report.usp_NYPA_ActualAndMinimumDemandBilling,Audit.usp_AddReportUsageLog
Report.usp_Published_AccountAndMeterListing,Audit.usp_AddReportUsageLog
Report.usp_Published_AccountAndMeterListing_ExcelExport,Audit.usp_AddReportUsageLog
Report.usp_Published_AccountAndMeterListing_Upgrade,Audit.usp_AddReportUsageLog
Report.usp_Published_AccountsByUtilityCompanyandServiceClass,Audit.usp_AddReportUsageLog
Report.usp_Published_ActiveAccountsNotBilledReport,Audit.usp_AddReportUsageLog
Report.usp_Published_ActiveAccountsWithNoActiveMeters,Audit.usp_AddReportUsageLog
Report.usp_Published_AgencyExcelData,Audit.usp_AddReportUsageLog
Report.usp_Published_ClosedAccountsBilledReport,Audit.usp_AddReportUsageLog
Report.usp_Published_CoreReportCityWide,Audit.usp_AddReportUsageLog
Report.usp_Published_CoreReportReportAccountLevel,Audit.usp_AddReportUsageLog
Report.usp_Published_CoreReportReportAccountLevelSubReport,Audit.usp_AddReportUsageLog
Report.usp_Published_CoreReportReportAgencyLevel,Audit.usp_AddReportUsageLog
Report.usp_Published_CurrentPeriodAccountMeterchanges,Audit.usp_AddReportUsageLog
Report.usp_Published_EnergyChangeReportAllFacilities,Audit.usp_AddReportUsageLog
Report.usp_Published_EnergyChangeReportDataExport,Audit.usp_AddReportUsageLog
Report.usp_Published_EnergyChangeReportExcelExport,Audit.usp_AddReportUsageLog
Report.usp_Published_EnergyComparisonDashboardReport_Updated,Audit.usp_AddReportUsageLog
Report.usp_Published_EnergyComparisonReportAgencyLevel_Updated,Audit.usp_AddReportUsageLog
Report.usp_Published_EnergyComparisonReportCityWide,Audit.usp_AddReportUsageLog
Report.usp_Published_EnergyComparisonReportCityWide_Updated,Audit.usp_AddReportUsageLog
Report.usp_Published_EnergyDeviationReport,Audit.usp_AddReportUsageLog
Report.usp_Published_EnergyParametersForCustomPeriod,Audit.usp_AddReportUsageLog
Report.usp_Published_EnergyParametersForCustomPeriod_Updated,Audit.usp_AddReportUsageLog
Report.usp_Published_EstimatedMeterReadings,Audit.usp_AddReportUsageLog
Report.usp_Published_EstimatedMeterReadings_Upgrade,Audit.usp_AddReportUsageLog
Report.usp_Published_FacilityExcelData,Audit.usp_AddReportUsageLog
Report.usp_Published_FacilityExcelData_Upgrade,Audit.usp_AddReportUsageLog
Report.usp_Published_GetAccountExtentedBillingInformationByAgencyCode,Audit.usp_AddReportUsageLog
Report.usp_Published_GetAccountExtentedBillingInformationByAgencyCode_Added_ZecSCharges,Audit.usp_AddReportUsageLog
Report.usp_Published_GetAccountExtentedBillingInformationByAgencyCode_Updated,Audit.usp_AddReportUsageLog
Report.usp_Published_GetAccountInformationByAgencyCode,Audit.usp_AddReportUsageLog
Report.usp_Published_GetMeterBillingHistoryInformation_ExcelExport,Audit.usp_AddReportUsageLog
Report.usp_Published_GetMeterExtentedBillingInformation,Audit.usp_AddReportUsageLog
Report.usp_Published_GetMeterExtentedBillingInformation_Updated,Audit.usp_AddReportUsageLog
Report.usp_Published_GetMeterExtentedBillingInformation_Updated_BACKUP_NOT_IN_USE,Audit.usp_AddReportUsageLog
Report.usp_Published_GetMonthlyAgencyData,Audit.usp_AddReportUsageLog
Report.usp_Published_GetMonthlyAgencyDataOnly,Audit.usp_AddReportUsageLog
Report.usp_Published_GetMonthlyAgencyDataOnly_desc,Audit.usp_AddReportUsageLog
Report.usp_Published_GetMonthlyAgencyDataOnly_Upgrade,Audit.usp_AddReportUsageLog
Report.usp_Published_GetMonthlyAgencyFacilityData,Audit.usp_AddReportUsageLog
Report.usp_Published_GetMonthlyAgencyFacilityData12month,Audit.usp_AddReportUsageLog
Report.usp_Published_GetMonthlyAgencyFacilityData2,Audit.usp_AddReportUsageLog
Report.usp_Published_GetMonthlyCitywideSummaryData,Audit.usp_AddReportUsageLog
Report.usp_Published_LookupTotalDollarsBtusAndRunningTotalCO2ByEnergyType,Audit.usp_AddReportUsageLog
Report.usp_Published_LookupTotalDollarsBtusAndRunningTotalCO2ByEnergyType_CoreRepForSelFac,Audit.usp_AddReportUsageLog
Report.usp_Published_LookupTotalDollarsBtusAndRunningTotalCO2ByEnergyType_Upgrade,Audit.usp_AddReportUsageLog
Report.usp_Published_LookupTotalDollarsBtusAndRunningTotalCO2ByEnergyTypeThreeFiscalYears,Audit.usp_AddReportUsageLog
Report.usp_Published_LookupTotalDollarsBtusAndRunningTotalCO2ByEnergyTypeThreeFiscalYears_Updated,Audit.usp_AddReportUsageLog
Report.usp_Published_MonthlyFacilityData_Export,Audit.usp_AddReportUsageLog
Report.usp_Published_PartialLookupAccountBillingAllInfo,Audit.usp_AddReportUsageLog
Report.usp_Published_PartialLookupAccountBillingRevisedOnly,Audit.usp_AddReportUsageLog
Report.usp_Published_PartialLookupAccountBillingRevisedOnly_Upgrade,Audit.usp_AddReportUsageLog
Report.usp_Published_PartialLookupCurrentAccount,Audit.usp_AddReportUsageLog
Report.usp_Published_UsageandDemandDeviationReport,Audit.usp_AddReportUsageLog
Report.usp_Published_UsageandDemandDeviationReportDash,Audit.usp_AddReportUsageLog
Report.usp_ReportParam_GetUserFacilityAccessInXML,Audit.usp_AddReportUsageLog
Scheduler.usp_ArchiveReport,ContentManagement.usp_InsertDocumentEndOfMonth
Temporal.usp_ProcessAndInsertTemporalData,Temporal.usp_InsertNewPeriodFromPublishedToTemporalAccountLevelSummaryByAgency
Temporal.usp_ProcessAndInsertTemporalData,Temporal.usp_InsertNewPeriodFromPublishedToTemporalAccountLevelSummaryByCityWide
Temporal.usp_ProcessAndInsertTemporalData,Temporal.usp_InsertNewPeriodFromPublishedToTemporalForAccountLevelSummaryForDollarsBtusAndCo2
Temporal.usp_ProcessAndInsertTemporalData,Temporal.usp_InsertNewPeriodFromPublishedToTemporalFiscalYearPivotByEncoreMonthlyPayments
Temporal.usp_ProcessAndInsertTemporalData,Temporal.usp_InsertNewPeriodFromPublishedToTemporalAccountMeterLevelRawDataForCurrentPeriod
Temporal.usp_ProcessAndInsertTemporalData,Temporal.usp_InsertNewPeriodFromPublishedToTemporalFiscalYearPivotByAgencyDollarsAndUsage
Temporal.usp_ProcessAndInsertTemporalData,Temporal.usp_InsertNewPeriodFromPublishedToTemporalFiscalYearPivotByAgencyFacilityAndAccountDollarsAndUsage
Temporal.usp_ProcessAndInsertTemporalData,Temporal.usp_InsertNewPeriodFromPublishedToTemporalFiscalYearPivotByAgencyAndFacilityDollarsAndUsage
Temporal.usp_ProcessAndInsertTemporalData,Temporal.usp_InsertNewPeriodFromPublishedToTemporalForAccountLevelRawDataForCurrentPeriod
Temporal.usp_ProcessAndInsertTemporalData,Temporal.usp_InsertNewPeriodFromPublishedToTemporalAccountLevelSummaryByFacility
Temporal.usp_ProcessAndInsertTemporalData,Temporal.usp_InsertNewPeriodFromPublishedToTemporalEnergyUsageSummaryGroupByAgencyAndEnergyType
